Last,Style,Name,Leather,Color,Outsole,Welt
Barrie,Plain Toe Dover,,Suede,Tan,Red Brick,360 Flat Welt
Barrie,Plain Toe Dover,,Nubuck,White,Red Brick,360 Flat Welt
Barrie,Plain Toe Dover,White Buck,Buck,White,Red Brick,360 Flat Welt
(no data),Saddle,,Calfskin,Black,(no data),(no data)
Barrie,Plain Toe Dover,,Shell Cordovan,Ravello,Dainite,360 Flat Welt
Barrie,Plain Toe Dover,,Shell Cordovan,Color 8,Double Leather,270 Flat Welt
Barrie,Mocc Toe Blucher,,Calfskin,Black,Single Leather,270 Flat Welt
Barrie,Mocc Toe Blucher,,Calfskin,Brown,Single Leather,270 Flat Welt
Plaza,Plain Toe Dover,,Calfskin,Burnished Dark Tan,Single Leather,270 Flat Welt
Plaza,Plain Toe Dover,,Shell Cordovan,Cigar,Single Leather,270 Flat Welt
Plaza,Plain Toe Dover,,Calfskin,Black,Single Leather,270 Flat Welt
Plaza,Straight Tip Blucher,,Kid Suede,Mocha,Single Leather,270 Flat Welt
Plaza,Straight Tip Blucher,Straight Tip Blucher,Calfskin,Burnished Dark Tan,Single Leather,270 Flat Welt
Plaza,Straight Tip Blucher,,Calfskin,Black,Single Leather,270 Flat Welt
Snap,Plain Toe Dover,Unlined Dover,Suede,Navy,Single Leather,360 Flat Welt
Van,Monk Strap,,Chromexcel,Brown,Single Leather,270 Flat Welt
Barrie,Plain Toe Dover,,Reverse Chamois,Brown,Double Leather,360 Pre-Stitched Reverse
Barrie,Plain Toe Dover,,Suede,Navy,Single Leather,360 Pre-Stitched Reverse
Barrie,Plain Toe Dover,Patterson Unlined Dover,Suede,Navy,Single Leather,360 Flat Welt
Barrie,Medallion Toe Blucher,,Nubuck,Navy,Plantation Crepe,360 Pre-Stitched Reverse
Barrie,Plain Toe Dover,Unlined Dover,Suede,Ivory,Single Leather,360 Pre-Stitched Reverse
Barrie,Plain Toe Dover,Unlined Suede Dover,Suede,Navy,Single Leather,360 Pre-Stitched Reverse
Barrie,Plain Toe Dover,Unlined Suede Dover,Suede,Tan,Single Leather,360 Pre-Stitched Reverse
Barrie,Plain Toe Dover,,Suede,Dark Brown,Single Leather,360 Pre-Stitched Reverse
Barrie,Plain Toe Dover,,Suede,Brown,Single Leather,360 Pre-Stitched Reverse
Barrie,Plain Toe Dover,Unlined Suede Dover,Suede,Snuff,Single Leather,360 Pre-Stitched Reverse
Barrie,Plain Toe Dover,,Suede,Dark Brown,Single Leather,360 Pre-Stitched Reverse
Barrie,Plain Toe Dover,,Suede,Navy,Single Leather,360 Pre-Stitched Reverse
Barrie,Plain Toe Dover,,Suede,Milkshake,Single Leather,360 Flat Welt
Barrie,Plain Toe Dover,,Suede,Hunting Green,Single Leather,360 Pre-Stitched Reverse
Barrie,Plain Toe Dover,,Chromexcel,Navy,Single Leather,360 Pre-Stitched Reverse
Barrie,Plain Toe Dover,J Crew item F6194,Chromexcel,Brown,Single Leather,360 Pre-Stitched Reverse
Barrie,Plain Toe Dover,,Chromexcel,Natural,Single Leather,360 Pre-Stitched Reverse
Barrie,Plain Toe Dover,,(no data),Black,Single Leather,360 Pre-Stitched Reverse
Barrie,Plain Toe Dover,,Chromexcel,Navy,Single Leather,360 Pre-Stitched Reverse
Barrie,Plain Toe Dover,,Suede,Navy,Single Leather,360 Pre-Stitched Reverse
Barrie,Plain Toe Dover,Capistrano Lined Dover,Calfskin,Black,Heavy Single Leather,360 Flat Welt
Barrie,Plain Toe Dover,,Eclipse Calf,Dark Brown,Double Leather,360 Pre-Stitched Reverse
Barrie,Plain Toe Blucher,,Shell Cordovan,Black,Single Leather,360 Pre-Stitched Reverse
Barrie,Plain Toe Dover,,Alpine Grain,Walnut,Commando,270 Storm Welt
Barrie,Plain Toe Dover,Dover,Shell Cordovan,Color 8,Single Leather,360 Pre-Stitched Reverse
Barrie,Plain Toe Dover,Jasper Dover,Shell Cordovan,Color 8,Commando,360 Pre-Stitched Reverse
Barrie,Plain Toe Dover,Unlined Dover,Shell Cordovan,Color 8,Single Leather,360 Pre-Stitched Reverse
Barrie,Norwegian Front Blucher,,Calfskin,Black,Plantation Crepe,360 Storm Welt
CDI,Plain Toe Dover,,Calfskin,Brown,Rubber,360 Flat Welt
(no data),Short Wing Tip Blucher,,Shell Cordovan,Color 8,Single Leather,360 Pre-Stitched Reverse
CDI,Plain Toe Dover,,Calfskin,Black,Rubber,360 Flat Welt
CDI,V-Tip Blucher,,Calfskin,Brown,Single Leather,270 Flat Welt
CDI,V-Tip Blucher,Algonquin,Calfskin,Black,Single Leather,270 Flat Welt
CDI,Plain Toe Dover,,Shrunken Calf,Tan,Wedge,360 Flat Welt
CDI,Plain Toe Dover,,Shrunken Calf,Black,Wedge,360 Flat Welt
